Vendedor,NroFactura,FechaFactura,Cliente,MontoSinImp,Impuestos,Costo,MontoFactura,Tipo,,,,
Alfonso,734,6/9/2014,Victoria Cnia,730.31,194.13,82,924.44,Empresa,,,,
Penelope,735,6/10/2014,Grupo 3 Estudio de Abogados,217.95,57.93,90,275.88,Empresa,,,,
Maria,736,6/10/2014,"Garcia, James",775.24,206.07,73,981.31,Persona,,,,
Alfonso,737,6/10/2014,Transportes Pampa,632.81,168.21,73,801.02,Empresa,,,,
Laura,738,6/10/2014,Coffs Harbour Cnia,409.13,108.75,62,517.88,Empresa,,,,
Penelope,739,6/10/2014,Madridia Cnia,657.66,174.82,101,832.48,Empresa,,,,
Luis,740,6/10/2014,"Garcia, James",403.39,107.23,57,510.62,Persona,,,,
Juan,741,6/11/2014,Longview Cnia,472.22,125.52,71,597.74,Empresa,,,,
Luis,742,6/11/2014,"Griffin, Zachary",302.07,80.29,67,382.36,Persona,,,,
Juan,743,6/11/2014,"Rodriguez, Thomas",351.78,93.5,62,445.28,Persona,,,,
John,744,6/11/2014,"Bebbington, Mark",376.63,100.11,116,476.74,Persona,,,,
John,745,6/11/2014,"Zeng, Omar",524.79,139.5,95,664.29,Persona,,,,
Pedro,746,6/11/2014,"Adams, Fernando",715.97,190.32,72,906.29,Persona,,,,
Penelope,747,6/11/2014,"Morgan, Brian",193.1,51.32,55,244.42,Persona,,,,
Juan,748,6/12/2014,"Bailey, Angel",558.25,148.39,98,706.64,Persona,,,,
Penelope,749,6/12/2014,Charles Cnia,240.89,64.03,93,304.92,Empresa,,,,
John,750,6/12/2014,"Torres, Isaiah",583.1,155,57,738.1,Persona,,,,
Laura,751,6/12/2014,Longview Cnia,333.61,88.68,80,422.29,Empresa,,,,
Penelope,752,6/12/2014,Kiela Cnia,174.93,46.5,56,221.43,Empresa,,,,
Juan,753,6/13/2014,"Rivera, Adrian",569.72,151.44,91,721.16,Persona,,,,
John,754,6/13/2014,"Kumar, Kevin",564.94,150.17,78,715.11,Persona,,,,
Luz,755,6/13/2014,Leo Seguros,433.98,115.36,118,549.34,Empresa,,,,
Luis,756,6/13/2014,"Perez, Jeremy",720.75,191.59,110,912.34,Persona,,,,
Penelope,757,6/13/2014,"Lewis, Charles",663.4,176.34,102,839.74,Persona,,,,
Luz,758,6/14/2014,"Morris, Timothy",766.64,203.78,89,970.42,Persona,,,,
John,759,6/14/2014,Oregon Cnia,588.84,156.52,63,745.36,Empresa,,,,
John,760,6/14/2014,"Turner, Richard",361.34,96.04,56,457.38,Persona,,,,
Luis,761,6/14/2014,Buffalo Cnia,646.19,171.77,116,817.96,Empresa,,,,
Carla,762,6/14/2014,"Diaz, Byron",843.11,224.11,113,1067.22,Persona,,,,
Luis,763,6/15/2014,Grupo Ases,626.12,166.43,85,792.55,Empresa,,,,
Luis,764,6/15/2014,"Evans, Noah",500.9,133.14,102,634.04,Persona,,,,
Penelope,765,6/15/2014,"Morris, Timothy",99.42,26.42,74,125.84,Persona,,,,
Penelope,766,6/16/2014,"Evans, Noah",766.64,203.78,97,970.42,Persona,,,,
Carla,767,6/16/2014,Corda Empresa de Correos,216.04,57.42,107,273.46,Empresa,,,,
Pedro,768,6/16/2014,"Torres, Isaiah",646.19,171.77,86,817.96,Persona,,,,
John,769,6/16/2014,"Baileya, Angela",730.31,194.13,106,924.44,Persona,,,,
Luis,770,6/16/2014,"Griffin, Kyle",755.17,200.73,93,955.9,Persona,,,,
John,771,6/16/2014,"Ortega, Marvin",325.97,86.64,99,412.61,Persona,,,,
Pedro,772,6/17/2014,"Lewis, Charles",732.22,194.64,74,926.86,Persona,,,,
Juan,773,6/17/2014,"Mitchell, Marcus",769.5,204.55,72,974.05,Persona,,,,
Luis,774,6/17/2014,"Ramos, Dwayne",382.36,101.64,96,484,Persona,,,,
Juan,775,6/17/2014,"Reed, Richard",638.55,169.73,71,808.28,Persona,,,,
Laura,776,6/17/2014,"Chen, Dylan",272.44,72.41,84,344.85,Persona,,,,
Pedro,777,6/17/2014,"Reed, Richard",681.56,181.17,61,862.73,Persona,,,,
John,778,6/18/2014,Greenville Cnia,359.42,95.54,76,454.96,Empresa,,,,
Pedro,779,6/18/2014,Orlando Cnia,232.29,61.74,111,294.03,Empresa,,,,
Luis,780,6/19/2014,"Garcia, James",716.93,190.57,90,907.5,Persona,,,,
Juan,781,6/19/2014,"Evans, Noah",431.12,114.59,77,545.71,Persona,,,,
Alfonso,782,6/19/2014,"Perez, Jeremy",835.46,222.08,58,1057.54,Persona,,,,
Alfonso,783,6/19/2014,"Lopez, Blake",462.66,122.98,86,585.64,Persona,,,,
Pedro,784,6/19/2014,"Alonso, Julio",112.8,29.98,88,142.78,Persona,,,,
Carla,785,6/19/2014,"Griffin, Kyle",753.25,200.23,96,953.48,Persona,,,,
Penelope,786,6/19/2014,Dallas Producciones,687.3,182.69,63,869.99,Empresa,,,,
Laura,787,6/19/2014,Greenville Cnia,188.32,50.05,99,238.37,Empresa,,,,
Luis,788,6/20/2014,Englewood Cnia,394.79,104.94,75,499.73,Empresa,,,,
Luz,789,6/20/2014,"Reed, Richard",800.09,212.68,70,1012.77,Persona,,,,
Juan,790,6/20/2014,Orlando Cnia,289.64,76.99,92,366.63,Empresa,,,,
Carla,791,6/21/2014,Grupo Ases,130.96,34.81,86,165.77,Empresa,,,,
Maria,792,6/21/2014,Jota Cnia,732.22,194.64,96,926.86,Empresa,,,,
John,793,6/21/2014,"Bryant, Seth",498.03,132.38,94,630.41,Persona,,,,
Laura,794,6/21/2014,South Portland Cnia,268.61,71.4,55,340.01,Empresa,,,,
Carla,795,6/21/2014,"Morgan, Brian",640.46,170.24,101,810.7,Persona,,,,
Laura,796,6/21/2014,"Adams, Fernando",137.65,36.59,57,174.24,Persona,,,,
Carla,797,6/22/2014,"Mitchell, Marcus",117.58,31.25,96,148.83,Persona,,,,
Juan,798,6/22/2014,"Johnson, Austin",303.03,80.54,57,383.57,Persona,,,,
Luis,799,6/22/2014,Lancaster Vestimenta,617.52,164.14,79,781.66,Empresa,,,,
Penelope,800,6/23/2014,"Mitchell, Marcus",131.92,35.06,64,166.98,Persona,,,,
Maria,801,6/23/2014,Transportes Pampa,176.85,47,67,223.85,Empresa,,,,
Luis,802,6/23/2014,"Edwards, Nathan",757.08,201.24,106,958.32,Persona,,,,
Alfonso,803,6/23/2014,"Bebbington, Mark",677.74,180.15,84,857.89,Persona,,,,
Luz,804,6/24/2014,"Davis, John",177.8,47.26,103,225.06,Persona,,,,
Luz,805,6/24/2014,Burbank Cnia,121.4,32.27,87,153.67,Empresa,,,,
Maria,806,6/24/2014,"Kumar, Kevin",433.98,115.36,64,549.34,Persona,,,,
Pedro,807,6/25/2014,"Gao, Ronnie",448.32,119.17,87,567.49,Persona,,,,
John,808,6/25/2014,"Kumar, Leonard",341.26,90.71,108,431.97,Persona,,,,
Maria,809,6/25/2014,"Kumar, Leonard",823.99,219.03,68,1043.02,Persona,,,,
Pedro,810,6/26/2014,"Reed, Richard",665.31,176.85,65,842.16,Persona,,,,
Pedro,811,6/26/2014,Boulder Cnia,172.07,45.73,105,217.8,Empresa,,,,
Alfonso,812,6/26/2014,"Zeng, Omar",304.94,81.05,59,385.99,Persona,,,,
Luz,813,6/27/2014,"Evans, Devin",164.42,43.7,101,208.12,Persona,,,,
Laura,814,6/27/2014,Kolkata Cnia,786.71,209.12,112,995.83,Empresa,,,,
Luis,815,6/27/2014,"Gonzales, Caleb",363.25,96.55,79,459.8,Persona,,,,
John,816,6/27/2014,"Washington, Jose",843.11,224.11,61,1067.22,Persona,,,,
Penelope,817,6/27/2014,"Reed, Richard",603.18,160.33,75,763.51,Persona,,,,
Luis,818,6/27/2014,"Griffin, Kyle",650.97,173.04,69,824.01,Persona,,,,
Alfonso,819,6/27/2014,"Martinez, Marco",682.52,181.42,120,863.94,Persona,,,,
John,820,6/27/2014,Boulder Cnia,767.59,204.04,120,971.63,Empresa,,,,
Pedro,821,6/27/2014,"Ana, Maria",439.72,116.88,96,556.6,Persona,,,,
John,822,6/27/2014,"Griffin, Kyle",437.81,116.37,91,554.18,Persona,,,,
Laura,823,6/27/2014,"Rodriguez, Thomas",791.49,210.39,55,1001.88,Persona,,,,
Carla,824,6/27/2014,"Kelly, Chase",253.32,67.33,94,320.65,Persona,,,,
Carla,825,6/28/2014,"Jackson, Noah",830.68,220.81,75,1051.49,Persona,,,,
John,826,6/29/2014,"Mitchell, Connor",614.65,163.38,61,778.03,Persona,,,,
Alfonso,827,6/29/2014,Grupo 3 Estudio de Abogados,661.49,175.83,97,837.32,Empresa,,,,
Penelope,828,6/29/2014,"Green, James",529.57,140.77,86,670.34,Persona,,,,
John,829,6/29/2014,"Zeng, Omar",177.8,47.26,63,225.06,Persona,,,,
Penelope,830,6/29/2014,Semillas Santo Mongo,583.1,155,111,738.1,Empresa,,,,
Pedro,831,6/29/2014,"Washington, Jose",570.68,151.69,95,722.37,Persona,,,,
Luz,832,6/29/2014,"Hill, Lucas",472.22,125.52,69,597.74,Persona,,,,
Luz,833,6/29/2014,Buffalo Cnia,533.4,141.78,118,675.18,Empresa,,,,
Laura,834,6/30/2014,"Johnson, Austin",615.6,163.64,112,779.24,Persona,,,,
Carla,835,6/30/2014,"Ana, Maria",244.72,65.04,111,309.76,Persona,,,,
Penelope,836,6/30/2014,"Diaz, Byron",387.14,102.91,88,490.05,Persona,,,,
Alfonso,837,6/30/2014,"Lopez, Blake",131.92,35.06,62,166.98,Persona,,,,
Carla,838,6/30/2014,Charles Cnia,738.92,196.41,55,935.33,Empresa,,,,
Carla,839,6/30/2014,Burbank Cnia,453.1,120.44,111,573.54,Empresa,,,,
Laura,840,6/30/2014,Viga Ingenieros,524.79,139.5,109,664.29,Empresa,,,,
Juan,841,7/1/2014,"Evans, Noah",471.26,125.27,102,596.53,Persona,,,,
Carla,842,7/1/2014,"Martinez, Marco",326.92,86.9,56,413.82,Persona,,,,
Alfonso,843,7/2/2014,Rochester Cnia,122.36,32.52,79,154.88,Empresa,,,,
John,844,7/2/2014,"Ross, Christian",422.51,112.31,97,534.82,Persona,,,,
Penelope,845,7/2/2014,Fiorilo Transportes y Correo,594.57,158.05,86,752.62,Empresa,,,,
Juan,846,7/2/2014,Englewood Cnia,830.68,220.81,74,1051.49,Empresa,,,,
Luis,847,7/2/2014,"Green, James",380.45,101.13,56,481.58,Persona,,,,
Juan,848,7/2/2014,"Rivera, Adrian",396.7,105.45,80,502.15,Persona,,,,
Juan,849,7/2/2014,"Sanchez, Ian",722.67,192.09,65,914.76,Persona,,,,
Penelope,850,7/2/2014,"Bryant, Seth",173.98,46.24,86,220.22,Persona,,,,
Laura,851,7/2/2014,Buffalo Cnia,755.17,200.73,111,955.9,Empresa,,,,
Alfonso,852,7/3/2014,"Arthur, Jermaine",585.97,155.76,100,741.73,Persona,,,,
John,853,7/3/2014,Rochester Cnia,684.43,181.93,71,866.36,Empresa,,,,
Penelope,854,7/3/2014,"Zeng, Omar",767.59,204.04,99,971.63,Persona,,,,
Laura,855,7/3/2014,Sunbury Cnia,184.49,49.04,113,233.53,Empresa,,,,
Pedro,856,7/3/2014,"Lopez, Blake",306.85,81.56,56,388.41,Persona,,,,
Pedro,857,7/3/2014,"Coleman, James",417.73,111.04,58,528.77,Persona,,,,
Carla,858,7/4/2014,"Mitchell, Connor",482.73,128.32,97,611.05,Persona,,,,
Luis,859,7/4/2014,"Pal, Ricardo",505.68,134.41,63,640.09,Persona,,,,
Carla,860,7/4/2014,Kolkata Cnia,860.31,228.69,102,1089,Empresa,,,,
Juan,861,7/4/2014,"Alonso, Julio",461.7,122.73,89,584.43,Persona,,,,
Luz,862,7/4/2014,"Morgan, Brian",645.24,171.51,116,816.75,Persona,,,,
Carla,863,7/5/2014,"Griffin, Kyle",475.09,126.28,99,601.37,Persona,,,,
Alfonso,864,7/5/2014,Viga Ingenieros,96.55,25.66,57,122.21,Empresa,,,,
Pedro,865,7/5/2014,"Edwards, Nathan",575.46,152.96,88,728.42,Persona,,,,
Laura,866,7/5/2014,Longview Cnia,469.35,124.76,101,594.11,Empresa,,,,
Maria,867,7/6/2014,"Ward, Jeremy",833.55,221.57,76,1055.12,Persona,,,,
John,868,7/6/2014,Grupo 3 Estudio de Abogados,450.23,119.68,61,569.91,Empresa,,,,
Laura,869,7/6/2014,South Portland Cnia,645.24,171.51,87,816.75,Empresa,,,,
Carla,870,7/6/2014,Leo Seguros,152.95,40.65,69,193.6,Empresa,,,,
Alfonso,871,7/7/2014,Madridia Cnia,507.59,134.92,81,642.51,Empresa,,,,
Carla,872,7/7/2014,Holyoke Producciones,482.73,128.32,72,611.05,Empresa,,,,
Maria,873,7/7/2014,"Diaz, Byron",841.2,223.6,114,1064.8,Persona,,,,
Pedro,874,7/7/2014,"Bryant, Seth",305.89,81.31,111,387.2,Persona,,,,
Maria,875,7/7/2014,"Zeng, Omar",803.92,213.69,64,1017.61,Persona,,,,
Laura,876,7/7/2014,"Turner, Richard",694.94,184.73,75,879.67,Persona,,,,
Pedro,877,7/8/2014,"Johnson, Benjamin",368.98,98.08,119,467.06,Persona,,,,
Pedro,878,7/8/2014,"Diaz, Byron",741.78,197.18,63,938.96,Persona,,,,
Carla,879,7/8/2014,Grupo Ases,629.94,167.45,105,797.39,Empresa,,,,
John,880,7/8/2014,Oleagi Agropecuaria,301.11,80.04,96,381.15,Empresa,,,,
Carla,881,7/8/2014,"Reed, Richard",581.19,154.49,100,735.68,Persona,,,,
Alfonso,882,7/8/2014,Corda Empresa de Correos,272.44,72.41,94,344.85,Empresa,,,,
Maria,883,7/8/2014,"Jackson, Nicholas",510.46,135.68,74,646.14,Persona,,,,
Penelope,884,7/8/2014,"Mitchell, Marcus",570.68,151.69,61,722.37,Persona,,,,
Alfonso,885,7/8/2014,"Morgan, Brian",375.67,99.86,69,475.53,Persona,,,,
Pedro,886,7/9/2014,Grupo Ases,245.67,65.3,106,310.97,Empresa,,,,
Pedro,887,7/9/2014,"Ross, Christian",398.62,105.95,72,504.57,Persona,,,,
Pedro,888,7/9/2014,Viga Ingenieros,703.55,187.01,90,890.56,Empresa,,,,
Maria,889,7/9/2014,Geelong Cnia,227.51,60.47,113,287.98,Empresa,,,,
Juan,890,7/9/2014,"Washington, Jose",477.95,127.05,78,605,Persona,,,,
Pedro,891,7/9/2014,"Adams, Wyatt",109.93,29.22,74,139.15,Persona,,,,
Maria,892,7/9/2014,"Davis, John",113.76,30.23,94,143.99,Persona,,,,
Carla,893,7/10/2014,"Morgan, Brian",235.16,62.5,116,297.66,Persona,,,,
Pedro,894,7/10/2014,Kolkata Cnia,596.49,158.55,90,755.04,Empresa,,,,
Luis,895,7/10/2014,"Pal, Ricardo",641.41,170.5,59,811.91,Persona,,,,
Pedro,896,7/10/2014,Kolkata Cnia,742.74,197.43,58,940.17,Empresa,,,,
Penelope,897,7/11/2014,Longview Cnia,356.56,94.77,57,451.33,Empresa,,,,
Juan,898,7/11/2014,"Green, James",802.96,213.44,74,1016.4,Persona,,,,
Maria,899,7/11/2014,Gold Coast Accesorios,133.83,35.57,93,169.4,Empresa,,,,
John,900,7/11/2014,"Hill, Lucas",582.15,154.74,82,736.89,Persona,,,,
John,901,7/11/2014,"Smith, Julio",707.37,188.03,78,895.4,Persona,,,,
Maria,902,7/12/2014,Trenton Cnia,787.67,209.37,100,997.04,Empresa,,,,
Carla,903,7/12/2014,"Gray, Isaiah",140.52,37.35,76,177.87,Persona,,,,
Alfonso,904,7/12/2014,"Washington, Jack",436.85,116.12,120,552.97,Persona,,,,
Pedro,905,7/12/2014,"Hill, Lucas",622.3,165.41,119,787.71,Persona,,,,
Maria,906,7/12/2014,Lake Oswego Cnia,200.74,53.36,86,254.1,Empresa,,,,
Juan,907,7/13/2014,"Liu, Louis",825.9,219.54,112,1045.44,Persona,,,,
Alfonso,908,7/13/2014,"Bebbington, Mark",270.52,71.91,99,342.43,Persona,,,,
Luis,909,7/13/2014,Orlando Cnia,731.27,194.38,71,925.65,Empresa,,,,
John,910,7/13/2014,"Gonzales, Caleb",492.29,130.86,95,623.15,Persona,,,,
Alfonso,911,7/13/2014,Viga Ingenieros,637.59,169.48,60,807.07,Empresa,,,,
Maria,912,7/13/2014,"Diaz, Byron",776.2,206.32,88,982.52,Persona,,,,
Laura,913,7/13/2014,"Adams, Wyatt",622.3,165.41,115,787.71,Persona,,,,
Luz,914,7/14/2014,Kolkata Cnia,788.62,209.63,84,998.25,Empresa,,,,
Alfonso,915,7/14/2014,"Sanchez, Ian",586.93,156.01,58,742.94,Persona,,,,
Maria,916,7/14/2014,"Adams, Fernando",339.35,90.2,83,429.55,Persona,,,,
Alfonso,917,7/15/2014,Falmouth Cnia,790.53,210.14,70,1000.67,Empresa,,,,
John,918,7/15/2014,"Washington, Jack",119.49,31.76,113,151.25,Persona,,,,
Laura,919,7/15/2014,Paris Cnia,116.62,31,56,147.62,Empresa,,,,
Laura,920,7/16/2014,"Hill, Lucas",696.86,185.23,73,882.09,Persona,,,,
Alfonso,921,7/16/2014,Madridia Cnia,440.67,117.14,114,557.81,Empresa,,,,
Luis,922,7/16/2014,"Rodriguez, Thomas",742.74,197.43,107,940.17,Persona,,,,
Carla,923,7/16/2014,"Richardson, Juan",470.31,125.01,89,595.32,Persona,,,,
Juan,924,7/16/2014,"Torres, Isaiah",318.32,84.61,95,402.93,Persona,,,,
Penelope,925,7/16/2014,"Jackson, Nicholas",207.44,55.13,76,262.57,Persona,,,,
Maria,926,7/16/2014,"Gonzales, Caleb",130.01,34.55,97,164.56,Persona,,,,
Alfonso,927,7/17/2014,"Baileya, Angela",785.75,208.87,98,994.62,Persona,,,,
Maria,928,7/17/2014,"Sharma, Ethan",668.18,177.61,104,845.79,Persona,,,,
Juan,929,7/17/2014,"Rodriguez, Thomas",760.9,202.26,66,963.16,Persona,,,,
Juan,930,7/17/2014,"Sanchez, Ian",114.71,30.49,106,145.2,Persona,,,,
Carla,931,7/17/2014,"Reed, Richard",764.72,203.28,61,968,Persona,,,,
Juan,932,7/18/2014,Semillas Santo Mongo,181.63,48.27,118,229.9,Empresa,,,,
Juan,933,7/18/2014,Oleagi Agropecuaria,466.48,124,57,590.48,Empresa,,,,
Pedro,934,7/18/2014,Gold Coast Accesorios,239.94,63.77,107,303.71,Empresa,,,,
Laura,935,7/18/2014,"Coleman, James",274.35,72.92,67,347.27,Persona,,,,
Luis,936,7/19/2014,"Ward, Jeremy",607.96,161.6,100,769.56,Persona,,,,
Luz,937,7/19/2014,"Zeng, Omar",663.4,176.34,58,839.74,Persona,,,,
Luz,938,7/19/2014,Wapato Cnia,314.5,83.59,93,398.09,Empresa,,,,
Luz,939,7/19/2014,"Pal, Ricardo",504.72,134.16,83,638.88,Persona,,,,
Laura,940,7/19/2014,Kolkata Cnia,445.45,118.41,108,563.86,Empresa,,,,
Pedro,941,7/19/2014,"Jackson, Noah",649.06,172.53,111,821.59,Persona,,,,
Alfonso,942,7/20/2014,"Reed, Richard",544.87,144.83,85,689.7,Persona,,,,
Alfonso,943,7/20/2014,"Gray, Isaiah",628.99,167.19,96,796.18,Persona,,,,
Alfonso,944,7/20/2014,Charles Cnia,120.45,32.01,102,152.46,Empresa,,,,
John,945,7/20/2014,"Adams, Fernando",531.49,141.27,70,672.76,Persona,,,,
Carla,946,7/20/2014,Charles Cnia,433.03,115.1,115,548.13,Empresa,,,,
John,947,7/20/2014,"Johnson, Austin",492.29,130.86,59,623.15,Persona,,,,
Juan,948,7/20/2014,"Adams, Fernando",817.3,217.25,112,1034.55,Persona,,,,
Luz,949,7/21/2014,"Bebbington, Mark",737,195.91,87,932.91,Persona,,,,
Maria,950,7/21/2014,Longview Cnia,268.61,71.4,60,340.01,Empresa,,,,
Maria,951,7/21/2014,"Diaz, Byron",151.99,40.4,110,192.39,Persona,,,,
Laura,952,7/21/2014,Gold Coast Accesorios,317.36,84.36,55,401.72,Empresa,,,,
Penelope,953,7/21/2014,Sunbury Cnia,429.2,114.09,74,543.29,Empresa,,,,
Luz,954,7/21/2014,"Gray, Isaiah",261.92,69.62,65,331.54,Persona,,,,
John,955,7/21/2014,"Washington, Jose",506.63,134.67,84,641.3,Persona,,,,
Luz,956,7/21/2014,"Gao, Ronnie",116.62,31,84,147.62,Persona,,,,
Juan,957,7/22/2014,"Washington, Jack",523.84,139.24,62,663.08,Persona,,,,
Alfonso,958,7/22/2014,Greenville Cnia,233.24,62,107,295.24,Empresa,,,,
John,959,7/22/2014,Lancaster Vestimenta,649.06,172.53,91,821.59,Empresa,,,,
Alfonso,960,7/22/2014,Gold Coast Accesorios,619.43,164.65,89,784.08,Empresa,,,,
Maria,961,7/22/2014,"Rodolfo, Chavez",282,74.95,58,356.95,Persona,,,,
Alfonso,962,7/22/2014,Victoria Cnia,216.04,57.42,120,273.46,Empresa,,,,
Pedro,963,7/23/2014,"Diaz, Gabriel",201.7,53.61,71,255.31,Persona,,,,
Juan,964,7/23/2014,Buffalo Cnia,764.72,203.28,69,968,Empresa,,,,
Carla,965,7/23/2014,"Bebbington, Mark",666.27,177.1,94,843.37,Persona,,,,
Penelope,966,7/23/2014,Lake Oswego Cnia,510.46,135.68,73,646.14,Empresa,,,,
John,967,7/23/2014,Congo Mongo Estudio,628.03,166.94,102,794.97,Empresa,,,,
Pedro,968,7/23/2014,"Rivera, Adrian",434.94,115.61,115,550.55,Persona,,,,
Alfonso,969,7/23/2014,"Gonzales, Caleb",677.74,180.15,88,857.89,Persona,,,,
Laura,970,7/24/2014,"Adams, Fernando",764.72,203.28,65,968,Persona,,,,
Luis,971,7/24/2014,"Kumar, Leonard",221.77,58.95,93,280.72,Persona,,,,
Maria,972,7/24/2014,"Johnson, Austin",347,92.23,85,439.23,Persona,,,,
Luz,973,7/24/2014,"Morgan, Brian",551.56,146.61,75,698.17,Persona,,,,
Pedro,974,7/24/2014,"Perez, Jeremy",831.64,221.06,103,1052.7,Persona,,,,
Carla,975,7/24/2014,"Liu, Louis",756.12,200.99,112,957.11,Persona,,,,
Alfonso,976,7/24/2014,"Adams, Fernando",515.24,136.95,110,652.19,Persona,,,,
Luis,977,7/24/2014,Geelong Cnia,318.32,84.61,102,402.93,Empresa,,,,
Luis,978,7/25/2014,"Morris, Timothy",454.06,120.69,60,574.75,Persona,,,,
Alfonso,979,7/25/2014,Trenton Cnia,636.63,169.23,61,805.86,Empresa,,,,
Juan,980,7/25/2014,Boulder Cnia,509.5,135.43,108,644.93,Empresa,,,,
Laura,981,7/25/2014,"Johnson, Benjamin",794.36,211.15,96,1005.51,Persona,,,,
John,982,7/25/2014,"Edwards, Nathan",367.07,97.57,84,464.64,Persona,,,,
Carla,983,7/25/2014,"Sanchez, Ian",602.22,160.08,62,762.3,Persona,,,,
Luis,984,7/25/2014,"Garcia, James",542,144.07,72,686.07,Persona,,,,
Laura,985,7/25/2014,"Hill, Lucas",770.46,204.8,107,975.26,Persona,,,,
Penelope,986,7/25/2014,"Perez, Jeremy",232.29,61.74,112,294.03,Persona,,,,
Luz,987,7/25/2014,South Portland Cnia,330.75,87.91,107,418.66,Empresa,,,,
Pedro,988,7/26/2014,Kolkata Cnia,452.15,120.18,79,572.33,Empresa,,,,
Luz,989,7/26/2014,Sunbury Cnia,624.21,165.92,75,790.13,Empresa,,,,
Luis,990,7/26/2014,"Kelly, Chase",496.12,131.87,107,627.99,Persona,,,,
Juan,991,7/27/2014,"Bebbington, Mark",271.48,72.16,59,343.64,Persona,,,,
Luz,992,7/27/2014,"Washington, Jose",103.24,27.44,74,130.68,Persona,,,,
Juan,993,7/27/2014,Transportes Pampa,826.86,219.79,115,1046.65,Empresa,,,,
Alfonso,994,7/27/2014,"Washington, Jack",471.26,125.27,120,596.53,Persona,,,,
Pedro,995,7/27/2014,"Bryant, Seth",724.58,192.6,79,917.18,Persona,,,,
Luz,996,7/27/2014,"Ramos, Dwayne",469.35,124.76,111,594.11,Persona,,,,
John,997,7/28/2014,South Portland Cnia,699.72,186,66,885.72,Empresa,,,,
Carla,998,7/28/2014,"Morris, Devin",234.2,62.25,112,296.45,Persona,,,,
John,999,7/28/2014,Congo Mongo Estudio,646.19,171.77,119,817.96,Empresa,,,,
Luis,1000,7/29/2014,Kiela Cnia,726.49,193.11,92,919.6,Empresa,,,,
Luis,1001,7/29/2014,Longview Cnia,114.71,30.49,101,145.2,Empresa,,,,
John,1002,7/29/2014,"Washington, Jose",670.09,178.12,87,848.21,Persona,,,,
Laura,1003,7/30/2014,Boulder Cnia,216.99,57.68,85,274.67,Empresa,,,,
Alfonso,1004,7/30/2014,"Miller, Seth",520.97,138.48,118,659.45,Persona,,,,
Alfonso,1005,7/30/2014,Geelong Cnia,533.4,141.78,79,675.18,Empresa,,,,
Juan,1006,7/30/2014,Sunbury Cnia,300.16,79.78,114,379.94,Empresa,,,,
Juan,1007,7/30/2014,"Chen, Dylan",659.58,175.32,79,834.9,Persona,,,,
Luis,1008,7/31/2014,Transportes Pampa,704.5,187.27,117,891.77,Empresa,,,,
Alfonso,1009,7/31/2014,"Evans, Noah",499.94,132.89,72,632.83,Persona,,,,
Carla,1010,7/31/2014,Paris Cnia,616.56,163.89,77,780.45,Empresa,,,,
Luz,1011,7/31/2014,"Sanchez, Eduardo",383.32,101.89,98,485.21,Persona,,,,
Carla,1012,8/1/2014,"Coleman, James",445.45,118.41,77,563.86,Persona,,,,
Luis,1013,8/1/2014,"Diaz, Gabriel",416.78,110.78,108,527.56,Persona,,,,
Alfonso,1014,8/1/2014,Wapato Cnia,567.81,150.93,68,718.74,Empresa,,,,
John,1015,8/1/2014,"Arthur, Jermaine",830.68,220.81,105,1051.49,Persona,,,,
Carla,1016,8/2/2014,Orlando Cnia,236.11,62.76,95,298.87,Empresa,,,,
Luis,1017,8/2/2014,"Adams, Wyatt",368.03,97.82,66,465.85,Persona,,,,
Luz,1018,8/3/2014,"Martinez, Marco",645.24,171.51,80,816.75,Persona,,,,
Laura,1019,8/3/2014,"Rodolfo, Chavez",457.88,121.71,86,579.59,Persona,,,,
Pedro,1020,8/3/2014,"Garcia, James",820.17,218.01,108,1038.18,Persona,,,,
Juan,1021,8/3/2014,"Diaz, Gabriel",178.76,47.51,55,226.27,Persona,,,,
John,1022,8/4/2014,Holyoke Producciones,449.28,119.42,61,568.7,Empresa,,,,
Penelope,1023,8/4/2014,"Torres, Isaiah",368.98,98.08,86,467.06,Persona,,,,
Pedro,1024,8/4/2014,"Mitchell, Connor",660.53,175.58,112,836.11,Persona,,,,
Maria,1025,8/4/2014,"Mitchell, Marcus",201.7,53.61,107,255.31,Persona,,,,
Maria,1026,8/5/2014,"Martinez, Marco",661.49,175.83,107,837.32,Persona,,,,
Alfonso,1027,8/5/2014,Dallas Producciones,846.93,225.13,63,1072.06,Empresa,,,,
Luis,1028,8/5/2014,Semillas Santo Mongo,737.96,196.16,118,934.12,Empresa,,,,
Luis,1029,8/6/2014,"Sharma, Ethan",824.95,219.28,92,1044.23,Persona,,,,
Maria,1030,8/6/2014,Jota Cnia,512.37,136.19,91,648.56,Empresa,,,,
Luz,1031,8/6/2014,"Hernandez, Micheal",347.95,92.49,118,440.44,Persona,,,,
Maria,1032,8/6/2014,"Hernandez, Micheal",524.79,139.5,76,664.29,Persona,,,,
Luis,1033,8/6/2014,"Richardson, Juan",700.68,186.25,116,886.93,Persona,,,,
Laura,1034,8/7/2014,"Kumar, Leonard",496.12,131.87,78,627.99,Persona,,,,
Luz,1035,8/7/2014,"Ana, Maria",585.97,155.76,107,741.73,Persona,,,,
Carla,1036,8/8/2014,Round Ventures,481.78,128.06,62,609.84,Empresa,,,,
Penelope,1037,8/8/2014,Lake Oswego Cnia,631.85,167.96,103,799.81,Empresa,,,,
